attributeName	code	definition
GRTSDraw	DEVA1	DEVA2
GRTSDraw	JOTR1	JOTR2
GRTSDraw	LAKE2	LAKE3
GRTSDraw	LAKE4BC	LAKE4BC
GRTSDraw	MOJA1	MOJA2
GRTSDraw	PARA1	PARA2
Panel	A	Site is expected to be monitored every year
Panel	B	The B group of sites is monitored every 3 years
Panel	C	The C group of sites is monitored every 3 years
Panel	D	The D group of sites is monitored every 3 years
Panel	I	Inactive sites are no longer expected to be monitored
Panel	S	"A site monitored as part of a special project, typically a one-off event"
Park	CAMO	Castle Mountains National Monument
Park	DEVA	Death Valley National Park
Park	JOTR	Joshua Tree National Park
Park	LAKE	Lake Mead National Recreation Area
Park	MOJA	Mojave National Preserve
Park	PARA	Parashant National Monument
SampleFrame	3Yr	3Yr
SampleFrame	Annual	Annual
SampleFrame	Oversample	Oversample
SampleFrame	Rejected	Rejected
SiteCode	CAMO_P_KID0300	CAMO_P_KID0301
SiteCode	CAMO_P_LEW0308	CAMO_P_LEW0309
SiteCode	CAMO_P_MOU0301	CAMO_P_MOU0302
SiteCode	CAMO_P_QUA0302	CAMO_P_QUA0303
SiteCode	CAMO_P_STA0304	CAMO_P_STA0305
SiteCode	CAMO_P_STR0305	CAMO_P_STR0306
SiteCode	CAMO_P_UNN0307	CAMO_P_UNN0308
SiteCode	DEVA_P_ALK0458	DEVA_P_ALK0459
SiteCode	DEVA_P_ANV0229	DEVA_P_ANV0229
SiteCode	DEVA_P_ANV0292	DEVA_P_ANV0292
SiteCode	DEVA_P_ANV1055	DEVA_P_ANV1055
SiteCode	DEVA_P_ARR0137	DEVA_P_ARR0137
SiteCode	DEVA_P_ARR0439	DEVA_P_ARR0439
SiteCode	DEVA_P_ARS0417	DEVA_P_ARS0418
SiteCode	DEVA_P_BAD0615	DEVA_P_BAD0616
SiteCode	DEVA_P_BEB0921	DEVA_P_BEB0922
SiteCode	DEVA_P_BEN0606	DEVA_P_BEN0607
SiteCode	DEVA_P_BIC0360	DEVA_P_BIC0361
SiteCode	DEVA_P_BIG0444	DEVA_P_BIG0444
SiteCode	DEVA_P_BIG0819	DEVA_P_BIG0819
SiteCode	DEVA_P_BLA0156	DEVA_P_BLA0156
SiteCode	DEVA_P_BLA0374	DEVA_P_BLA0374
SiteCode	DEVA_P_BLA0477	DEVA_P_BLA0477
SiteCode	DEVA_P_BON0151	DEVA_P_BON0152
SiteCode	DEVA_P_BOT0781	DEVA_P_BOT0782
SiteCode	DEVA_P_BRE0864	DEVA_P_BRE0865
SiteCode	DEVA_P_BRI0274	DEVA_P_BRI0275
SiteCode	DEVA_P_BUC0588	DEVA_P_BUC0588
SiteCode	DEVA_P_BUC0994	DEVA_P_BUC0994
SiteCode	DEVA_P_BUL0709	DEVA_P_BUL0710
SiteCode	DEVA_P_BUR0315	DEVA_P_BUR0315
SiteCode	DEVA_P_BUR0654	DEVA_P_BUR0654
SiteCode	DEVA_P_BUR0666	DEVA_P_BUR0666
SiteCode	DEVA_P_BUS0232	DEVA_P_BUS0233
SiteCode	DEVA_P_BUT0141	DEVA_P_BUT0142
SiteCode	DEVA_P_CAN0672	DEVA_P_CAN0673
SiteCode	DEVA_P_CAV0278	DEVA_P_CAV0279
SiteCode	DEVA_P_CEN0670	DEVA_P_CEN0671
SiteCode	DEVA_P_CLA0488	DEVA_P_CLA0489
SiteCode	DEVA_P_CLI0479	DEVA_P_CLI0480
SiteCode	DEVA_P_COR0991	DEVA_P_COR0992
SiteCode	DEVA_P_COT0794	DEVA_P_COT0794
SiteCode	DEVA_P_COT0918	DEVA_P_COT0918
SiteCode	DEVA_P_COW0160	DEVA_P_COW0161
SiteCode	DEVA_P_COY0020	DEVA_P_COY0021
SiteCode	DEVA_P_CUR0123	DEVA_P_CUR0124
SiteCode	DEVA_P_DAR0526	DEVA_P_DAR0527
SiteCode	DEVA_P_DAY0710	DEVA_P_DAY0710
SiteCode	DEVA_P_DAY0720	DEVA_P_DAY0720
SiteCode	DEVA_P_DEL0480	DEVA_P_DEL0481
SiteCode	DEVA_P_DOG0685	DEVA_P_DOG0686
SiteCode	DEVA_P_DRU0467	DEVA_P_DRU0468
SiteCode	DEVA_P_EAG0352	DEVA_P_EAG0353
SiteCode	DEVA_P_EAS0201	DEVA_P_EAS0201
SiteCode	DEVA_P_EAS0676	DEVA_P_EAS0676
SiteCode	DEVA_P_EAS0837	DEVA_P_EAS0837
SiteCode	DEVA_P_EMI0707	DEVA_P_EMI0708
SiteCode	DEVA_P_EPI0743	DEVA_P_EPI0744
SiteCode	DEVA_P_FAL0835	DEVA_P_FAL0836
SiteCode	DEVA_P_FER0624	DEVA_P_FER0625
SiteCode	DEVA_P_FIR0990	DEVA_P_FIR0991
SiteCode	DEVA_P_FIV0002	DEVA_P_FIV0003
SiteCode	DEVA_P_FLI0739	DEVA_P_FLI0740
SiteCode	DEVA_P_FLO0107	DEVA_P_FLO0107
SiteCode	DEVA_P_FLO0455	DEVA_P_FLO0455
SiteCode	DEVA_P_FLY0494	DEVA_P_FLY0495
SiteCode	DEVA_P_FOS0195	DEVA_P_FOS0196
SiteCode	DEVA_P_FUN0652	DEVA_P_FUN0653
SiteCode	DEVA_P_GAR0302	DEVA_P_GAR0303
SiteCode	DEVA_P_GNO0081	DEVA_P_GNO0082
SiteCode	DEVA_P_GRA0378	DEVA_P_GRA0378
SiteCode	DEVA_P_GRA0379	DEVA_P_GRA0379
SiteCode	DEVA_P_GRA0647	DEVA_P_GRA0647
SiteCode	DEVA_P_GRE0191	DEVA_P_GRE0191
SiteCode	DEVA_P_GRE0679	DEVA_P_GRE0679
SiteCode	DEVA_P_GRE0777	DEVA_P_GRE0777
SiteCode	DEVA_P_GRU0291	DEVA_P_GRU0292
SiteCode	DEVA_P_HAL0809	DEVA_P_HAL0810
SiteCode	DEVA_P_HAR0312	DEVA_P_HAR0313
SiteCode	DEVA_P_HAW0358	DEVA_P_HAW0359
SiteCode	DEVA_P_HEA0787	DEVA_P_HEA0788
SiteCode	DEVA_P_HID0532	DEVA_P_HID0533
SiteCode	DEVA_P_HIG0854	DEVA_P_HIG0855
SiteCode	DEVA_P_HOB0214	DEVA_P_HOB0215
SiteCode	DEVA_P_HOH0419	DEVA_P_HOH0420
SiteCode	DEVA_P_HOL0706	DEVA_P_HOL0707
SiteCode	DEVA_P_HOR0497	DEVA_P_HOR0498
