attributeName	code	definition
DPL	Accepted	Data have undergone all QA and QC procedures as defined in a published protocol and associated SOPs.
DPL	Provisional	"Data have undergone all planned QA procedures, have been entered into the system of record, and have passed verification procedures to ensure that data in the system of record match source data (field forms, sensor data files, etc.). These data have not undergone all QC procedures"
DPL	Raw	"Data in their state of original collection, either in the form of paper or electronic field forms, eletronic sensor files, or digital media(photo, video, or audio). These data generally have been collected following some QA procedures, but have not undergone any QC procedures."
DirectObservation	No	No
DirectObservation	No Data	No Data
DirectObservation	Yes	Yes
FieldSeason	2019	Water Year 2019
FieldSeason	2020	Water Year 2020
FieldSeason	2021	Water Year 2021
FieldSeason	2022	Water Year 2022
FieldSeason	2023	Water Year 2023
Foraging	No	No
Foraging	No Data	No Data
Foraging	Yes	Yes
IsWildlifeObserved	Yes	Yes
OtherEvidence	No	No
OtherEvidence	No Data	No Data
OtherEvidence	Not Applicable	Not Applicable
OtherEvidence	Yes	Yes
Panel	Panel Annual	Site is expected to be monitored every year
Panel	Panel B	The B group of sites is monitored every 3 years
Panel	Panel C	The C group of sites is monitored every 3 years
Panel	Panel D	The D group of sites is monitored every 3 years
Panel	Panel Inactive	Inactive sites are no longer expected to be monitored
Park	CAMO	Castle Mountains National Monument
Park	DEVA	Death Valley National Park
Park	JOTR	Joshua Tree National Park
Park	LAKE	Lake Mead National Recreation Area
Park	MOJA	Mojave National Preserve
Park	PARA	Parashant National Monument
SampleFrame	3Yr	3Yr
SampleFrame	Annual	Annual
SampleFrame	Oversample	Oversample
Scat	No	No
Scat	No Data	No Data
Scat	Yes	Yes
Shelter	No	No
Shelter	No Data	No Data
Shelter	Yes	Yes
SiteCode	CAMO_P_QUA0302	CAMO_P_QUA0303
SiteCode	DEVA_P_ARR0137	DEVA_P_ARR0138
SiteCode	DEVA_P_BEN0606	DEVA_P_BEN0607
SiteCode	DEVA_P_BIG0819	DEVA_P_BIG0820
SiteCode	DEVA_P_BOT0781	DEVA_P_BOT0782
SiteCode	DEVA_P_BRI0274	DEVA_P_BRI0275
SiteCode	DEVA_P_BUC0994	DEVA_P_BUC0995
SiteCode	DEVA_P_BUR0315	DEVA_P_BUR0316
SiteCode	DEVA_P_CUR0123	DEVA_P_CUR0124
SiteCode	DEVA_P_DAR0526	DEVA_P_DAR0527
SiteCode	DEVA_P_FLY0494	DEVA_P_FLY0495
SiteCode	DEVA_P_GNO0081	DEVA_P_GNO0082
SiteCode	DEVA_P_GRA0378	DEVA_P_GRA0379
SiteCode	DEVA_P_GRE0191	DEVA_P_GRE0191
SiteCode	DEVA_P_GRE0679	DEVA_P_GRE0679
SiteCode	DEVA_P_HAL0809	DEVA_P_HAL0810
SiteCode	DEVA_P_HUM0793	DEVA_P_HUM0794
SiteCode	DEVA_P_HUN0746	DEVA_P_HUN0747
SiteCode	DEVA_P_JAC0129	DEVA_P_JAC0129
SiteCode	DEVA_P_JAC0135	DEVA_P_JAC0135
SiteCode	DEVA_P_JAC0189	DEVA_P_JAC0189
SiteCode	DEVA_P_JAC0441	DEVA_P_JAC0441
SiteCode	DEVA_P_JAC0687	DEVA_P_JAC0687
